slug,player,agent,map,role,timestamp_s,distance_pct,confidence,smoke
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,63.6,10.52,0.682,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,69.33,0.49,0.512,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,73.5,3.95,0.546,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,74.8,44.69,0.5,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,240.43,0.32,0.484,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,245.3,0.75,0.434,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,314.43,4.13,0.631,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,374.67,0.25,0.403,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,384.43,4.84,0.516,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,394.97,0.26,0.42,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,401.27,16.29,0.431,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,408.67,5.13,0.679,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,412.3,7.81,0.744,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,453.83,2.06,0.437,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,573.33,1.23,0.401,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,581.57,21.89,0.568,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,633.77,2.43,0.517,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,677.4,3.18,0.509,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,896.23,8.48,0.532,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,905.67,0.7,0.54,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,964.77,1.76,0.453,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,969.77,1.98,0.428,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,980.17,2.72,0.404,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1032.13,40.56,0.47,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1141.1,0.5,0.422,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1155.7,8.5,0.825,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1157.53,1.84,0.519,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1232.63,2.64,0.614,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1237.0,20.84,0.808,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1284.03,2.67,0.77,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1291.57,0.46,0.552,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1292.97,13.03,0.485,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1302.93,1.72,0.444,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1303.97,2.26,0.454,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1323.0,0.42,0.565,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1398.47,1.13,0.414,True
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1438.93,13.3,0.617,False
1000-iq-cypher-c9-oxy-cypher-valorant-ranked-gameplay,oxy,cypher,,non-duelist,1531.23,2.09,0.412,True
