timestamp_s,distance_px,distance_pct_width,confidence
4.8,1261.9,49.29,0.547
11.1,26.5,1.03,0.423
23.63,9.7,0.38,0.42
33.7,9.1,0.35,0.469
51.63,171.7,6.71,0.58
61.27,15.6,0.61,0.426
103.0,30.5,1.19,0.413
103.67,8.7,0.34,0.437
119.63,199.2,7.78,0.487
124.57,20.9,0.82,0.524
137.07,18.7,0.73,0.432
160.47,746.6,29.16,0.7
179.5,149.9,5.85,0.581
191.23,23.8,0.93,0.588
203.13,89.1,3.48,0.589
211.93,764.2,29.85,0.683
217.66,9.4,0.37,0.402
232.0,17.6,0.69,0.491
244.96,13.0,0.51,0.555
261.4,8.8,0.34,0.409
262.9,11.0,0.43,0.481
268.66,78.2,3.05,0.683
289.76,15.2,0.59,0.403
